"payment_number";"contract_id";"transaction_date";"payment_id";"payment_date";"order_id";"park_id";"driver_id";"transaction_type";"transaction_id";"amount";"currency"
"89454";"95656/18";"2021-03-28 05:13:39";"233321667";"2021-03-29 05:00:00";"2609bde71fe21f1587055c87b4ace199";"27926c42b4e64cb8bd63de55e8b55ab6";"2422667b42ab46d4bf14cbe8357f52d8";"Плата за использование Яндекс.Про";"1059760990_8653615803";"-1,2";"RUB"
"89454";"95656/18";"2021-03-28 05:13:39";"233321667";"2021-03-29 05:00:00";"2609bde71fe21f1587055c87b4ace199";"27926c42b4e64cb8bd63de55e8b55ab6";"2422667b42ab46d4bf14cbe8357f52d8";"Платный найм";"1059760990_8653615804";"-5,592";"RUB"
"89454";"95656/18";"2021-03-28 05:13:39";"233321667";"2021-03-29 05:00:00";"2609bde71fe21f1587055c87b4ace199";"27926c42b4e64cb8bd63de55e8b55ab6";"2422667b42ab46d4bf14cbe8357f52d8";"Дополнительная плата за программное обеспечение";"1059760990_8653615805";"-0,804";"RUB"
"89454";"95656/18";"2021-03-28 05:25:25";"233321667";"2021-03-29 05:00:00";"c9518a5a603621ff806f2529d84c7dd6";"27926c42b4e64cb8bd63de55e8b55ab6";"2422667b42ab46d4bf14cbe8357f52d8";"Базовая комиссия без учёта скидок";"1059760990_8653768552";"-13,824";"RUB"
"89454";"95656/18";"2021-03-28 05:25:25";"233321667";"2021-03-29 05:00:00";"c9518a5a603621ff806f2529d84c7dd6";"27926c42b4e64cb8bd63de55e8b55ab6";"2422667b42ab46d4bf14cbe8357f52d8";"Плата за использование Яндекс.Про";"1059760990_8653768553";"-1,2";"RUB"
"89454";"95656/18";"2021-03-28 05:25:25";"233321667";"2021-03-29 05:00:00";"c9518a5a603621ff806f2529d84c7dd6";"27926c42b4e64cb8bd63de55e8b55ab6";"2422667b42ab46d4bf14cbe8357f52d8";"Платный найм";"1059760990_8653768554";"-2,304";"RUB"
"89454";"95656/18";"2021-03-28 05:25:25";"233321667";"2021-03-29 05:00:00";"c9518a5a603621ff806f2529d84c7dd6";"27926c42b4e64cb8bd63de55e8b55ab6";"2422667b42ab46d4bf14cbe8357f52d8";"Дополнительная плата за программное обеспечение";"1059760990_8653768555";"-0,804";"RUB"
"89454";"95656/18";"2021-03-28 06:08:04";"233321667";"2021-03-29 05:00:00";"dbd26564fabb16ee979d69bcb1693386";"27926c42b4e64cb8bd63de55e8b55ab6";"2422667b42ab46d4bf14cbe8357f52d8";"Базовая комиссия без учёта скидок";"1059760990_8654381428";"0";"RUB"
"89454";"95656/18";"2021-03-28 06:08:15";"233321667";"2021-03-29 05:00:00";"8350e92bc7e3c5fca28d4da9c4989265";"27926c42b4e64cb8bd63de55e8b55ab6";"2422667b42ab46d4bf14cbe8357f52d8";"Базовая комиссия без учёта скидок";"1059760990_8654384652";"-49,536";"RUB"
"89454";"95656/18";"2021-03-28 06:08:15";"233321667";"2021-03-29 05:00:00";"8350e92bc7e3c5fca28d4da9c4989265";"27926c42b4e64cb8bd63de55e8b55ab6";"2422667b42ab46d4bf14cbe8357f52d8";"Плата за использование Яндекс.Про";"1059760990_8654384653";"-1,2";"RUB"
